StudentID;VoucherValue;StartDate;EndDate
1905606463;2,14;2024-03-05;2024-06-05
1179206322;1,89;2024-03-05;2024-06-05
860681913;1,47;2024-03-05;2024-06-05
1619315593;2,62;2024-03-05;2024-06-05
78086977;1,36;2024-03-05;2024-06-05
2064507625;1,74;2024-03-05;2024-06-05
1661691887;2,93;2024-03-05;2024-06-05
1398507806;2,07;2024-03-05;2024-06-05
2079424364;1,18;2024-03-05;2024-06-05
1461070813;1,28;2024-03-05;2024-06-05
1395446059;1,54;2024-03-05;2024-06-05
143187163;2,26;2024-03-05;2024-06-05
1227807175;2,81;2024-03-05;2024-06-05
295757051;2,38;2024-03-05;2024-06-05
1621595485;2,52;2024-03-05;2024-06-05
1670079369;1,13;2024-03-05;2024-06-05
1420208129;1,79;2024-03-05;2024-06-05
325688946;2,42;2024-03-05;2024-06-05
1866118494;1,95;2024-03-05;2024-06-05
823787779;2,71;2024-03-05;2024-06-05
1815364281;1,23;2024-03-05;2024-06-05
1780649378;2,12;2024-03-05;2024-06-05
176858106;2,31;2024-03-05;2024-06-05
187744747;2,04;2024-03-05;2024-06-05
2118110123;2,17;2024-03-05;2024-06-05
1025296853;2,79;2024-03-05;2024-06-05
1135705351;1,69;2024-03-05;2024-06-05
741466239;2,48;2024-03-05;2024-06-05
1670558804;2,59;2024-03-05;2024-06-05
1277968642;1,39;2024-03-05;2024-06-05
1414739827;2,69;2024-03-05;2024-06-05
842362097;2,03;2024-03-05;2024-06-05
1170546704;1,92;2024-03-05;2024-06-05
89843748;2,15;2024-03-05;2024-06-05
2069308061;1,63;2024-03-05;2024-06-05
2060380906;2,85;2024-03-05;2024-06-05
1129611208;1,45;2024-03-05;2024-06-05
256715686;2,33;2024-03-05;2024-06-05
1365517642;1,57;2024-03-05;2024-06-05
1258120509;1,32;2024-03-05;2024-06-05
2019836224;2,20;2024-03-05;2024-06-05
265468028;1,15;2024-03-05;2024-06-05
1433966233;1,84;2024-03-05;2024-06-05
276588202;2,75;2024-03-05;2024-06-05
215967853;1,51;2024-03-05;2024-06-05
1590665692;2,98;2024-03-05;2024-06-05
150353276;1,21;2024-03-05;2024-06-05
1446197617;2,46;2024-03-05;2024-06-05
