3;2.14;2024-03-08;2024-07-08
4;1.89;2024-04-12;2024-07-12
5;1.47;2024-04-18;2024-07-18
6;2.62;2024-04-21;2024-07-21
7;1.36;2024-04-25;2024-07-25
8;1.74;2024-04-29;2024-07-29
9;2.93;2024-05-03;2024-08-03
10;2.07;2024-05-09;2024-08-09
11;1.18;2024-05-15;2024-08-15
12;1.28;2024-05-19;2024-08-19
13;1.54;2024-05-23;2024-08-23
14;2.81;2024-05-27;2024-08-27
15;2.52;2024-05-31;2024-08-31
3;1.13;2024-06-05;2024-09-05
4;1.79;2024-06-08;2024-09-08
5;1.95;2024-06-13;2024-09-13
6;1.23;2024-06-18;2024-09-18
7;2.12;2024-06-22;2024-09-22
8;2.31;2024-06-26;2024-09-26
9;2.04;2024-07-01;2024-10-01
10;2.17;2024-07-05;2024-10-05
11;2.79;2024-07-09;2024-10-09
12;1.69;2024-07-15;2024-10-15
13;2.59;2024-07-19;2024-10-19
